"id";"codigo_udh";"nome_udh";"id_cidade";"ano";"espvida";"fectot";"mort1";"mort5";"sobre40";"sobre60";"razdep";"t_env";"e_anosestudo";"t_analf11a14";"t_analf15a17";"t_analf15m";"t_analf18a24";"t_analf18m";"t_analf25a29";"t_analf25m";"t_atraso_2_basico";"t_atraso_2_fund";"t_fbbas";"t_fbfund";"t_fbmed";"t_fbsuper";"t_flbas";"t_flfund";"t_flmed";"t_flsuper";"t_freq0a5";"t_freq15a17";"t_freq18a24";"t_freq25a29";"t_freq5a6";"t_freq6a14";"t_freq6a17";"t_freqfund1517";"t_freqfund1824";"t_freqmed1824";"t_fund11a13";"t_fund15a17";"t_fund18a24";"t_fund18m";"t_fund25m";"t_med18a20";"t_med18a24";"t_med18m";"t_med25m";"t_super25m";"corte1";"corte2";"corte3";"corte4";"corte9";"gini";"pind";"pindcri";"pmpob";"pmpobcri";"ppob";"ppobcri";"pren10ricos";"pren20";"pren20ricos";"pren40";"pren60";"pren80";"prentrab";"r1040";"r2040";"rdpc";"rdpc1";"rdpc10";"rdpc2";"rdpc3";"rdpc4";"rdpc5";"rdpct";"rind";"rmpob";"rpob";"theil";"p_agro";"p_com";"p_constr";"p_extr";"p_serv";"p_siup";"p_transf";"cpr";"emp";"p_formal";"trabcc";"trabpub";"trabsc";"p_fund";"p_med";"p_super";"ren0";"ren1";"ren2";"ren3";"ren5";"renocup";"theiltrab";"t_ativ";"t_ativ1014";"t_ativ1517";"t_ativ1824";"t_ativ18m";"t_ativ2529";"t_des";"t_des1014";"t_des1517";"t_des1824";"t_des18m";"t_des2529";"t_agua";"t_banagua";"t_dens";"t_lixo";"t_luz";"agua_esgoto";"parede";"t_crifundin_todos";"t_fora0a5";"t_fora6a14";"t_fundin_todos";"t_fundin_todos_mmeio";"t_fundin18minf";"t_m10a17cf";"t_mulchefefif014";"t_nestuda_ntrab_mmeio";"t_ocupdesloc_1";"t_rmaxidoso";"t_sluz";"t_vulnera_nestuda_ntrab_mmeio";"t_vulnera_mulchefe";"t_vulnera_rmaxidoso";"t_vulnera_ocupdesloc_13";"homem0a4";"homem10a14";"homem15a19";"homem20a24";"homem25a29";"homem30a34";"homem35a39";"homem40a44";"homem45a49";"homem50a54";"homem55a59";"homem5a9";"homem60a64";"homem65a69";"homem70a74";"homem75a79";"homens80";"homemtot";"mulh0a4";"mulh10a14";"mulh15a19";"mulh20a24";"mulh25a29";"mulh30a34";"mulh35a39";"mulh40a44";"mulh45a49";"mulh50a54";"mulh55a59";"mulh5a9";"mulh60a64";"mulh65a69";"mulh70a74";"mulh75a79";"mulher80";"mulhertot";"pea";"pea1014";"pea1517";"pea18m";"peso1";"peso1114";"peso1113";"peso1214";"peso13";"peso15";"peso1517";"peso1524";"peso1618";"peso18";"peso1820";"peso1824";"peso1921";"peso25";"peso4";"peso5";"peso6";"peso610";"peso617";"peso65";"pesom1014";"pesom1517";"pesom15m";"pesom25m";"pesorur";"pesotot";"pesourb";"pia";"pia1014";"pia1517";"pia18m";"pop";"popt";"mulchefefdom";"domvulneracomid";"popvulneravel15a24";"ocupmmeiod";"t_fbfund_tudo";"t_fbmed_tudo";"t_fbbas_tudo";"t_flfund_tudo";"t_flmed_tudo";"t_flbas_tudo";"t_fund11a13_tudo";"i_escolaridade";"i_freq_prop";"idhm";"idhm_e";"idhm_l";"idhm_r";"criado_em"
1;"1350160800001";Zanaga / Jardim Brasil;4724;2000;71.08;2.13;21.40;24.84;91.18;77.50;39.95;4.74;10.25;0.83;0.42;5.10;0.79;5.50;0.84;6.76;10.60;6.93;109.09;111.15;104.06;6.94;92.39;95.16;59.72;5.52;31.44;84.36;20.80;10.31;85.50;97.39;93.59;21.38;2.75;8.24;92.19;67.54;75.70;43.98;35.11;45.05;42.86;20.47;14.21;1.60;280.39;390.42;538.78;780.84;1060.64;0.36;0.51;0.21;5.10;9.12;16.53;25.38;27.14;6.60;43.15;18.24;34.30;56.85;80.78;5.95;4.73;571.33;188.52;1550.79;332.40;458.88;644.21;1232.64;571.33;44.72;101.59;170.50;0.23;1.34;13.26;6.27;0.00;35.24;0.56;40.13;14.70;2.14;69.95;62.31;2.41;18.25;53.12;26.31;2.57;0.20;14.81;64.81;80.78;94.84;1112.68;0.23;;9.53;53.97;84.14;68.94;83.50;;65.09;40.01;26.26;16.30;19.21;99.86;99.28;30.36;99.05;100.00;0.00;;29.02;68.56;2.61;23.47;8.11;39.75;3.36;7.73;5.65;;0.82;0.00;45.46;21.29;29.89;;972;1022;1266;1280;1106;981;861;840;836;645;414;942;354;211;156;78;63;12027;872;935;1216;1223;1046;938;853;905;919;659;430;963;353;264;184;100;80;11940;;187;766;11610;346;1570;1152;1190;1117;18261;1420;4985;1547;16841;1605;3565;1552;13276;381;407;356;1885;4875;1136;935;718;9170;6731;0;23967;23967;20218;1957;1420;16841;23917;;;;;;118.35;129.43;121.58;97.39;62.22;93.86;93.94;0.44;0.73;0.69;0.61;0.77;0.69;2020-07-13 21:41:19
2;"1350160800001";Zanaga / Jardim Brasil;4724;2010;75.56;1.60;13.90;16.07;94.73;84.12;37.69;7.84;11.12;1.09;0.73;3.63;0.47;3.80;0.77;4.38;6.68;5.54;97.89;100.66;90.57;31.68;90.76;92.63;64.68;18.67;57.32;89.74;28.18;9.22;98.57;99.13;96.55;11.32;0.35;5.60;90.31;81.97;90.36;58.74;53.34;55.81;62.74;37.65;33.36;3.99;383.57;541.67;733.33;1004.00;1270.00;0.33;0.12;0.51;1.43;3.20;8.09;16.59;25.39;7.35;40.41;19.68;36.56;59.59;75.45;5.16;4.11;748.27;274.97;1899.97;461.49;631.44;861.59;1511.88;748.27;55.00;99.45;191.47;0.19;0.46;13.19;5.55;0.30;33.08;0.86;36.39;18.10;0.78;77.78;69.36;1.55;9.62;70.93;47.63;5.61;0.74;5.87;63.91;83.51;95.90;1124.50;0.15;;3.94;48.62;90.38;68.92;90.40;;19.89;31.45;11.21;6.40;7.66;99.77;93.82;23.62;100.00;100.00;0.00;0.14;14.68;42.68;0.87;16.50;2.83;28.40;1.46;6.13;2.22;0.00;0.40;0.00;37.46;11.16;100.00;0.00;772;930;931;1012;1144;1052;942;934;769;741;668;737;543;333;263;137;127;12035;693;861;944;943;1074;1038;907;927;816;837;823;757;622;366;305;200;177;12290;;71;531;12738;283;1463;1093;1106;851;19575;1093;3830;1135;18482;1171;2737;1160;15745;331;295;269;1527;4083;1908;861;535;9979;8092;0;24325;24325;21366;1791;1093;18482;24279;;;;;;105.58;113.35;107.72;99.35;77.33;97.35;94.39;0.59;0.82;0.77;0.73;0.84;0.73;2020-07-13 21:41:19
3;"1350160800002";Praia Azul / Pós Represa;4724;2000;69.53;2.40;24.50;28.48;89.98;74.95;54.08;4.18;10.14;1.43;1.35;6.57;1.92;7.02;1.46;8.27;14.57;8.54;102.30;107.79;85.28;2.63;87.70;91.44;41.50;0.00;31.70;82.53;24.93;9.98;81.56;96.53;93.12;32.16;4.30;16.74;76.28;55.24;62.36;34.39;27.43;26.43;23.96;12.91;10.15;1.15;195.21;292.81;409.94;613.51;780.84;0.38;1.88;3.66;9.43;14.29;30.55;41.52;28.86;6.13;44.22;17.36;33.22;55.78;82.46;6.65;5.09;448.18;137.38;1293.33;251.65;355.37;505.47;991.01;448.28;52.68;97.93;169.31;0.26;1.46;12.06;11.35;0.00;40.73;0.63;30.76;20.45;0.47;62.75;57.15;1.07;20.09;40.84;15.49;1.36;0.77;20.07;71.26;85.43;96.57;989.36;0.23;;5.86;50.71;81.17;71.32;75.70;;38.00;43.36;23.51;18.03;18.18;98.99;98.21;43.57;99.48;100.00;0.43;;42.77;68.30;3.47;34.46;15.32;44.98;2.01;13.80;10.04;;0.67;0.00;37.51;32.01;21.58;;472;454;388;359;382;354;329;269;211;172;125;413;100;58;43;32;25;4186;402;409;347;392;371;388;289;281;221;169;106;403;106;66;56;34;31;4071;;51;225;3751;165;697;514;532;518;5704;444;1486;450;5260;443;1042;458;4218;191;157;170;825;1966;345;409;207;2857;2118;434;8257;7823;6567;863;444;5260;8257;;;;;;118.10;99.98;113.68;96.53;47.14;93.77;85.13;0.34;0.60;0.62;0.50;0.74;0.65;2020-07-13 21:41:19
4;"1350160800002";Praia Azul / Pós Represa;4724;2010;72.42;1.89;19.00;22.02;92.88;79.35;42.07;5.55;11.19;1.47;0.91;4.51;1.40;4.76;1.69;5.47;7.53;5.86;91.38;96.75;75.83;15.24;87.36;89.06;54.13;7.48;54.34;77.78;15.23;6.40;92.56;97.56;92.49;15.43;0.59;3.79;85.62;71.14;80.42;51.01;44.28;46.90;52.08;29.31;24.10;3.92;275.00;408.33;550.00;800.00;1000.00;0.37;0.76;1.03;4.78;7.64;18.78;30.32;28.31;6.24;43.25;17.94;34.38;56.75;82.58;6.31;4.82;587.91;183.39;1664.40;344.08;483.17;657.63;1271.27;587.91;26.86;104.24;177.77;0.25;4.33;11.87;8.64;0.20;37.25;5.24;25.14;15.85;0.39;70.02;64.97;1.24;16.28;58.23;35.44;4.48;2.36;12.52;75.33;89.53;97.93;958.49;0.17;;1.99;34.98;83.46;72.68;82.41;;0.00;35.88;5.48;4.18;1.66;93.84;89.98;38.53;100.00;100.00;0.54;1.04;18.86;45.66;2.44;21.42;6.61;32.03;4.19;19.40;8.66;0.42;1.05;0.00;45.53;22.20;77.85;6.18;396;557;487;523;473;439;428;456;364;315;239;411;181;120;93;43;47;5572;384;475;465;435;473;496;437;471;336;313;231;428;192;110;93;51;54;5444;;21;193;5678;144;818;609;605;465;8365;552;1910;565;7813;582;1358;574;6455;171;165;167;888;2258;611;475;280;4157;3257;984;11016;10032;9397;1032;552;7813;10920;;;;;;102.41;87.01;98.46;97.56;64.71;93.89;91.13;0.51;0.74;0.71;0.65;0.79;0.69;2020-07-13 21:41:19
5;"1350160800003";Praia dos Namorados;4724;2000;76.21;1.22;12.80;14.90;94.57;85.29;41.02;5.82;11.33;1.65;2.03;5.91;1.27;6.21;1.42;7.20;5.49;3.40;102.38;101.27;105.20;33.02;92.27;94.52;75.11;19.49;37.71;89.09;32.43;17.46;86.28;97.91;95.42;8.39;1.21;8.13;83.08;85.64;86.75;62.06;57.88;62.13;61.85;45.97;43.27;17.73;404.08;650.70;1015.09;1952.09;2752.45;0.52;0.18;0.42;0.98;2.14;7.36;10.24;39.87;4.11;56.34;11.58;23.23;43.66;76.55;13.77;9.73;1396.38;286.90;5567.16;521.89;812.88;1426.51;3933.70;1396.38;29.28;87.80;190.82;0.47;0.96;18.11;4.68;0.11;41.96;0.34;30.26;23.55;7.42;69.71;48.78;3.69;15.00;75.81;57.48;22.61;1.73;12.03;42.75;54.43;75.65;2361.37;0.51;;2.35;36.67;78.81;66.17;82.59;;70.01;37.63;16.23;8.16;7.71;99.42;99.22;17.47;99.28;100.00;0.21;;10.73;62.29;2.09;12.54;2.22;28.79;0.93;2.75;2.34;;0.72;0.00;27.84;9.59;49.77;;109;119;117;111;109;103;115;116;93;81;50;91;55;34;19;12;10;1344;86;106;123;111;103;102;129;101;87;76;48;105;47;31;19;15;14;1303;;5;54;1246;37;182;135;138;115;2031;148;462;136;1883;149;314;144;1569;43;43;35;196;526;154;106;75;1006;772;0;2647;2647;2256;225;148;1883;2596;;;;;;106.33;117.33;109.43;97.85;77.59;95.38;89.76;0.62;0.79;0.80;0.73;0.85;0.83;2020-07-13 21:41:19
6;"1350160800003";Praia dos Namorados;4724;2010;80.23;1.13;7.90;9.15;96.95;90.35;38.33;8.93;12.39;0.52;0.80;2.87;0.57;2.98;1.97;3.39;6.16;4.28;92.48;99.74;79.09;84.44;87.26;90.81;64.92;47.66;56.23;87.16;52.84;19.12;100.00;96.98;93.53;8.19;1.23;2.26;94.27;83.83;91.84;78.00;75.84;70.68;78.63;65.23;63.14;35.86;620.00;1000.00;1733.33;2666.67;4000.00;0.49;;;0.46;;2.34;4.14;38.27;4.30;54.26;12.27;25.33;45.74;79.76;12.47;8.84;2045.66;439.60;7829.09;815.85;1335.28;2087.63;5549.91;2045.66;;127.50;206.39;0.42;2.87;13.81;3.93;0.00;45.26;0.40;25.75;25.95;9.47;77.29;50.76;2.22;10.91;85.42;73.21;40.38;0.69;4.62;33.55;49.21;67.48;2990.98;0.50;;1.96;17.93;69.51;68.68;91.60;;0.00;9.70;9.44;3.47;4.53;99.68;100.00;8.01;100.00;100.00;0.00;0.00;5.96;43.77;3.02;8.39;0.82;15.50;0.00;1.01;1.64;0.00;0.59;0.00;68.23;3.00;100.00;0.00;86;120;114;122;136;102;108;127;118;132;88;106;78;61;39;18;22;1577;70;105;116;123;118;102;124;114;144;104;82;93;81;56;35;16;29;1512;;4;22;1637;32;193;135;151;91;2509;125;475;133;2384;161;350;149;2034;33;39;37;192;510;276;105;61;1244;1005;0;3089;3089;2734;225;125;2384;3088;;;;;;102.58;102.51;102.56;98.17;82.39;94.73;100.00;0.78;0.87;0.88;0.84;0.92;0.89;2020-07-13 21:41:19
7;"1350160800004";Portal dos Nobres / Imperador;4724;2000;;;;;;;;;;0.00;0.00;5.75;2.94;6.28;0.00;7.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99.00;;;;;;;;;;;;;;;;;;;;;;;7;7;12;8;9;5;8;7;6;6;4;10;2;3;1;0;0;97;5;8;9;5;6;5;8;9;5;4;4;6;3;1;0;0;2;80;;;;;1;12;10;8;8;133;11;34;14;122;12;23;9;99;3;2;4;17;40;8;8;5;61;47;0;176;176;;;;;;;;;;;;;;;;;;;;;;;;2020-07-13 21:41:19
8;"1350160800004";Portal dos Nobres / Imperador;4724;2010;81.12;1.20;7.00;8.06;97.31;91.42;40.70;4.98;12.11;0.00;0.00;0.61;0.00;0.64;0.00;0.71;5.29;4.06;99.98;102.29;93.96;107.51;91.70;91.64;74.42;49.46;78.93;91.71;61.03;30.33;97.54;100.00;97.70;6.61;0.56;3.50;92.38;86.27;93.56;83.20;81.60;79.38;75.56;73.24;72.88;51.04;820.50;1650.00;2833.33;5000.00;6666.67;0.50;0.26;0.58;0.88;2.82;3.24;6.20;36.01;2.96;53.51;10.45;23.72;46.49;78.16;13.78;10.24;3219.29;476.86;11592.48;1205.66;2136.28;3664.36;8613.32;3219.29;40.59;91.82;176.91;0.49;2.50;14.99;5.18;0.00;49.96;0.10;17.57;23.87;9.31;79.47;55.17;3.32;7.05;86.10;77.09;54.08;1.53;6.15;30.15;38.74;50.41;4647.08;0.60;;0.75;15.50;66.37;72.39;86.47;;0.00;16.26;10.93;2.87;7.83;100.00;94.71;5.82;100.00;100.00;0.83;0.05;6.45;21.07;0.00;7.56;1.18;10.63;2.05;4.98;0.47;0.00;0.20;0.00;8.72;9.16;100.00;0.00;20;28;25;20;21;21;39;33;28;29;17;33;12;8;4;4;0;342;28;20;13;7;16;37;38;25;31;24;13;25;8;3;8;2;3;301;;0;4;337;9;35;22;31;33;489;23;65;23;466;21;42;20;424;6;6;14;65;123;32;20;6;228;208;0;643;643;537;48;23;466;643;;;;;;109.97;126.82;114.64;100.00;86.27;98.82;97.64;0.83;0.89;0.92;0.87;0.94;0.96;2020-07-13 21:41:19
9;"1350160800005";Jardim Alvorada / Machadinho / Distrito Industrial;4724;2000;73.06;1.98;17.80;20.65;92.58;80.62;49.50;5.09;9.90;1.62;0.00;6.62;1.07;7.13;1.39;8.74;16.49;15.53;95.59;96.45;92.80;9.56;85.33;86.28;58.12;5.50;33.22;87.79;23.33;11.83;75.99;95.03;93.32;21.10;2.44;8.98;58.46;68.30;70.42;41.83;35.04;48.02;42.42;24.20;19.88;5.33;294.77;444.10;644.19;964.33;1264.95;0.41;0.66;1.35;4.56;7.78;14.59;23.15;31.48;5.61;46.82;16.23;31.08;53.18;80.91;7.76;5.77;702.69;196.94;2211.77;373.12;521.81;776.41;1645.17;702.69;56.81;107.74;168.09;0.30;0.79;14.27;7.55;0.00;37.01;0.60;38.05;20.14;3.10;64.07;53.88;2.40;20.48;52.73;31.68;6.85;0.00;17.14;58.38;73.06;90.33;1321.71;0.31;;6.99;65.63;83.89;69.39;84.04;;49.87;20.13;20.30;13.95;15.36;99.95;98.72;36.74;99.71;100.00;0.25;;32.27;66.78;4.97;28.92;7.91;42.10;0.00;6.10;2.92;;0.83;0.00;28.00;19.39;49.62;;151;175;132;180;144;131;125;121;84;52;52;146;36;31;19;16;11;1608;109;152;136;150;144;133;126;108;84;56;47;142;46;37;22;12;10;1514;;23;106;1447;48;248;182;180;162;2246;161;598;162;2085;178;437;183;1648;50;54;68;313;722;159;152;77;1111;825;0;3121;3121;2573;327;161;2085;3104;;;;;;109.60;115.07;110.89;95.03;65.40;93.55;63.17;0.42;0.63;0.68;0.55;0.80;0.72;2020-07-13 21:41:19
10;"1350160800005";Jardim Alvorada / Machadinho / Distrito Industrial;4724;2010;77.57;1.38;11.10;12.84;95.76;86.93;37.06;4.82;10.45;0.71;0.89;3.63;0.34;3.83;0.93;4.61;10.87;11.61;96.74;100.17;85.93;43.00;89.79;92.67;64.17;20.02;57.74;84.19;26.72;17.96;97.09;98.44;95.01;11.27;0.61;3.80;88.99;77.64;90.07;63.24;58.25;61.12;68.97;42.99;38.16;8.55;425.00;604.00;833.33;1250.00;1700.00;0.37;0.10;;1.39;2.74;8.01;15.75;27.49;6.32;43.35;18.01;33.92;56.65;81.10;6.11;4.81;895.78;283.09;2462.50;523.47;712.85;1017.71;1941.79;895.78;32.50;113.79;185.20;0.23;0.62;17.40;8.41;0.00;37.12;0.55;32.25;21.29;3.18;73.35;62.85;1.14;10.85;72.39;50.15;10.19;0.83;8.88;55.65;76.28;90.19;1359.67;0.24;;7.69;46.65;79.10;71.89;93.86;;20.71;28.75;12.62;5.74;5.36;99.93;99.88;23.52;100.00;100.00;0.00;0.00;18.02;42.26;1.56;16.41;4.05;24.99;0.00;7.11;2.32;0.09;0.54;0.00;34.93;10.41;100.00;3.37;156;188;215;224;232;218;189;168;140;123;77;164;61;41;25;19;16;2256;132;164;170;198;199;225;188;151;141;103;90;163;64;39;33;25;12;2097;;27;104;2273;51;283;211;219;161;3386;224;807;228;3162;261;583;264;2579;76;72;65;324;831;210;164;109;1638;1270;0;4353;4353;3738;352;224;3162;4350;;;;;;106.60;107.36;106.78;98.51;70.00;95.46;95.83;0.63;0.81;0.79;0.75;0.88;0.76;2020-07-13 21:41:19
