"nr_candidato";"nm_urna_candidato";"sigla";"ds_sit_tot_turno";"cd_sit_tot_turno";"espectro_completo";"votos"
"45000";RAFAEL MACRIS;PSDB;ELEITO POR QP;2;Centro Direita;3567
"15088";JUNINHO DIAS;MDB;ELEITO POR QP;2;Centro Direita;3138
"15115";DR.ONDAS;MDB;ELEITO POR QP;2;Centro Direita;1636
"25000";NATHÁLIA CAMARGO;DEM;NÃO ELEITO;4;Direita;1595
"11111";LUIZ DA RODABEN;PP;ELEITO POR QP;2;Direita;1589
"22333";ODIR DA BEBA E BABE;PL;ELEITO POR QP;2;Centro Direita;1577
"15200";KIM;MDB;ELEITO POR QP;2;Centro Direita;1574
"65035";LEO DA PADARIA;PCdoB;ELEITO POR QP;2;Esquerda;1461
"44010";WELINGTON REZENDE;PRP;ELEITO POR QP;2;Centro Direita;1414
"15777";DR. OTTO KINSUI;MDB;ELEITO POR MÉDIA;3;Centro Direita;1386
"45007";MARSCHELO MECHE;PSDB;ELEITO POR QP;2;Centro Direita;1372
"10000";GUALTER DA HIMATEL;PRB;ELEITO POR QP;2;Direita;1372
"65192";MARIA GIOVANA FORTUNATO;PCdoB;ELEITO POR MÉDIA;3;Esquerda;1231
"65656";DAVI RAMOS;PCdoB;SUPLENTE;5;Esquerda;1188
"55474";PASTOR FÁBIO FELTRIM;PSD;NÃO ELEITO;4;Centro Direita;1183
"45222";THIAGO BROCHI;PSDB;ELEITO POR MÉDIA;3;Centro Direita;1167
"10123";WLADIMIR MARTINS;PRB;SUPLENTE;5;Direita;1158
"44222";GUILHERME TIOSSO;PRP;ELEITO POR MÉDIA;3;Centro Direita;1139
"18000";LUCAS LEONCINE;REDE;NÃO ELEITO;4;Centro Esquerda;1134
"65123";PROFESSOR LUIZ RENATO;PCdoB;SUPLENTE;5;Esquerda;1127
"12100";VAGNER MALHEIROS;PDT;ELEITO POR MÉDIA;3;Centro Esquerda;1123
"44151";GERALDO FANALI;PRP;SUPLENTE;5;Centro Direita;1109
"45015";SACILOTTO;PSDB;SUPLENTE;5;Centro Direita;1079
"44123";CEZAR POLIDORO;PRP;SUPLENTE;5;Centro Direita;1077
"44770";SILVIO DOURADO;PRP;SUPLENTE;5;Centro Direita;1046
"43000";THIAGO MARTINS;PV;ELEITO POR QP;2;Centro;1032
"45111";ORESTES CAMARGO NEVES;PSDB;SUPLENTE;5;Centro Direita;1000
"43043";ODAIR DIAS;PV;ELEITO POR MÉDIA;3;Centro;986
"15500";PROF. ANGELO GIRARDI;MDB;SUPLENTE;5;Centro Direita;960
"43210";PEDRO PEOL;PV;SUPLENTE;5;Centro;939
"13007";PROFESSOR PADRE SERGIO;PT;ELEITO POR QP;2;Esquerda;926
"43222";LIGIA RODRIGUES;PV;SUPLENTE;5;Centro;920
"12777";JUDITH;PDT;ELEITO POR MÉDIA;3;Centro Esquerda;911
"13456";MOACIR ROMERO;PT;SUPLENTE;5;Esquerda;910
"13001";CELSO ZOPPI;PT;SUPLENTE;5;Esquerda;871
"40000";DR. ULISSES;PSB;NÃO ELEITO;4;Centro Esquerda;871
"15010";TONHÃO DOS VETERANOS;MDB;SUPLENTE;5;Centro Direita;861
"15109";MARCO MASTRODI;MDB;SUPLENTE;5;Centro Direita;859
"13111";RAFAEL BERNARDI;PT;SUPLENTE;5;Esquerda;829
"15151";EDUARDO DA FARMÁCIA;MDB;SUPLENTE;5;Centro Direita;801
"43133";ROGERIO MARTINS;PV;SUPLENTE;5;Centro;801
"43300";MARCÃO PROFESSOR;PV;SUPLENTE;5;Centro;776
"12500";RENATO MARTINS;PDT;SUPLENTE;5;Centro Esquerda;775
"55055";PROFESSOR JOÃO SIMÕES;PSD;NÃO ELEITO;4;Centro Direita;756
"23111";LEONORA;PPS;NÃO ELEITO;4;Centro;755
"15515";PROF. EVELENE;MDB;SUPLENTE;5;Centro Direita;726
"44000";ADELINO LEAL;PRP;SUPLENTE;5;Centro Direita;724
"15000";HORTENSE;MDB;SUPLENTE;5;Centro Direita;718
"14123";DR. FELIX MÉDICO;PTB;NÃO ELEITO;4;Direita;714
"12222";LECO;PDT;SUPLENTE;5;Centro Esquerda;704
"65651";GUTAO DO LANCHE;PCdoB;SUPLENTE;5;Esquerda;698
"43610";FABIANO BIE;PV;SUPLENTE;5;Centro;666
"12112";RODRIGO GÁS;PDT;SUPLENTE;5;Centro Esquerda;661
"43777";TÉO FEOLA;PV;SUPLENTE;5;Centro;631
"45123";GUILHERME MANCINI;PSDB;SUPLENTE;5;Centro Direita;597
"12123";RICARDO HETZL;PDT;SUPLENTE;5;Centro Esquerda;597
"44444";WLAD;PRP;SUPLENTE;5;Centro Direita;595
"12555";ZÉ CARLOS;PDT;SUPLENTE;5;Centro Esquerda;592
"45045";RENAN DE ANGELO;PSDB;SUPLENTE;5;Centro Direita;585
"15555";CHICONI;MDB;SUPLENTE;5;Centro Direita;559
"43111";JOÃO MILETTA;PV;SUPLENTE;5;Centro;535
"45333";FRAN DA PADARIA;PSDB;SUPLENTE;5;Centro Direita;532
"22222";ADILSON JOE;PL;SUPLENTE;5;Centro Direita;530
"77333";DUZZI;SOLIDARIEDADE;SUPLENTE;5;Centro;528
"55000";CRISTIANO ARO;PSD;NÃO ELEITO;4;Centro Direita;518
"22022";PAULO CHOCOLATE;PL;SUPLENTE;5;Centro Direita;513
"13700";PROFESSORA JULIANA;PT;SUPLENTE;5;Esquerda;506
"65555";DU CANTEIRO;PCdoB;SUPLENTE;5;Esquerda;504
"43400";DR. LUCAS TORREZAN;PV;SUPLENTE;5;Centro;498
"45456";JOANINA ROSA;PSDB;SUPLENTE;5;Centro Direita;497
"65456";TONINHO FORTI;PCdoB;SUPLENTE;5;Esquerda;471
"40222";REGINALDO DO LEITE;PSB;NÃO ELEITO;4;Centro Esquerda;468
"22190";EVERALDO TEIXEIRA MACEDO;PL;SUPLENTE;5;Centro Direita;466
"55888";MARICY BAUMEYER;PSD;NÃO ELEITO;4;Centro Direita;454
"55455";ANDRÉ MINEIRO;PSD;NÃO ELEITO;4;Centro Direita;436
"31300";MOISÉS TRICOSTURA;PHS;NÃO ELEITO;4;Centro;431
"15123";MARIO ANTENISTA;MDB;SUPLENTE;5;Centro Direita;426
"22123";PEDRO TREINADOR;PL;SUPLENTE;5;Centro Direita;425
"31111";ESNEL OLIVATTO;PHS;NÃO ELEITO;4;Centro;421
"31031";ZÉ NIRTO;PHS;NÃO ELEITO;4;Centro;420
"10025";ALEX PANSINI;PRB;SUPLENTE;5;Direita;388
"43651";REINALDO BIGOTEX;PV;SUPLENTE;5;Centro;386
"12051";JONAS SANTAROSA;PDT;SUPLENTE;5;Centro Esquerda;385
"13024";DENIS CARVALHO;PT;SUPLENTE;5;Esquerda;382
"45644";PROFESSOR JONAS MOREIRA;PSDB;SUPLENTE;5;Centro Direita;382
"44777";CLEBER DURAN;PRP;SUPLENTE;5;Centro Direita;379
"43333";FRONER;PV;SUPLENTE;5;Centro;374
"22193";ALLAN RODRIGUES DA CUNHA;PL;SUPLENTE;5;Centro Direita;373
"65111";DONIZETE CATEQUISTA;PCdoB;SUPLENTE;5;Esquerda;370
"22100";CONCEIÇÃO DA PROTEÇÃO ANIMAL;PL;SUPLENTE;5;Centro Direita;368
"12012";MANEZINHO DA PRAIA;PDT;SUPLENTE;5;Centro Esquerda;363
"22777";TONINHO DO MERCADO;PL;SUPLENTE;5;Centro Direita;362
"77444";NILTINHO DA LOCADORA;SOLIDARIEDADE;NÃO ELEITO;4;Centro;352
"77444";GELA GUELA;SOLIDARIEDADE;SUPLENTE;5;Centro;352
"40656";MARIA HELENA BELA;PSB;NÃO ELEITO;4;Centro Esquerda;349
"25015";PROFESSOR JONAS SANTOS;DEM;NÃO ELEITO;4;Direita;348
"12024";GIL DO CAFÉ BRASIL;PDT;SUPLENTE;5;Centro Esquerda;345
"65100";DECINHO;PCdoB;SUPLENTE;5;Esquerda;345
"44015";JOÃOZINHO DO QUIOSQUE;PRP;SUPLENTE;5;Centro Direita;342
"44012";CELIÃO;PRP;SUPLENTE;5;Centro Direita;342
"45556";DR ANESIO FAUSTINO;PSDB;SUPLENTE;5;Centro Direita;332
"22555";JAIRO CABELEIREIRO;PL;SUPLENTE;5;Centro Direita;329
"25025";MARCO AURÉLIO PERSONAL;DEM;NÃO ELEITO;4;Direita;326
"43033";LEANDRO BRAZ;PV;SUPLENTE;5;Centro;325
"45010";NEY CASCAVEL;PSDB;SUPLENTE;5;Centro Direita;323
"12612";ANDRÉ CELIN;PDT;SUPLENTE;5;Centro Esquerda;313
"65151";ANTONIO AVELINO;PCdoB;SUPLENTE;5;Esquerda;297
"12000";PROFESSOR HERB;PDT;SUPLENTE;5;Centro Esquerda;293
"12244";DIUZETE BIG DIU;PDT;SUPLENTE;5;Centro Esquerda;293
"10010";LUCAS TROQUI;PRB;SUPLENTE;5;Direita;290
"65007";TOTA;PCdoB;SUPLENTE;5;Esquerda;286
"55777";MÁRCIA SANTOS;PSD;NÃO ELEITO;4;Centro Direita;285
"43888";DENIS DA FARMÁCIA;PV;SUPLENTE;5;Centro;284
"11333";PAULINHO CAMPOS;PP;SUPLENTE;5;Direita;284
"31456";ALEXANDRE RIBEIRO XANDÃO;PHS;NÃO ELEITO;4;Centro;283
"55400";MARCOS MOTA;PSD;NÃO ELEITO;4;Centro Direita;281
"15002";GLAUCIA CAMARGO;MDB;SUPLENTE;5;Centro Direita;280
"15578";ALEXANDRE BIASI;MDB;SUPLENTE;5;Centro Direita;274
"77123";THIAGO BISCASSI;SOLIDARIEDADE;SUPLENTE;5;Centro;274
"31123";JACIRA CHAVARE;PHS;NÃO ELEITO;4;Centro;274
"20333";LUIZINHO DAS CRIANÇAS;PSC;NÃO ELEITO;4;Extrema Direita;265
"45147";PERNÃO;PSDB;SUPLENTE;5;Centro Direita;265
"12345";RAFAEL GINETTI;PDT;SUPLENTE;5;Centro Esquerda;264
"45100";OSMAR RAMALHO;PSDB;SUPLENTE;5;Centro Direita;262
"15157";ROBERTO DELLAPIAZZA;MDB;SUPLENTE;5;Centro Direita;260
"10007";MARCELO S. KARATÊ;PRB;SUPLENTE;5;Direita;253
"23333";JOAQUIM DO DOCE;PPS;NÃO ELEITO;4;Centro;253
"43007";RICARDO PRATTA;PV;SUPLENTE;5;Centro;250
"44011";ZUM;PRP;SUPLENTE;5;Centro Direita;248
"19019";FERNANDO DA LAFER AUTO PEÇAS;PODE;NÃO ELEITO;4;Direita;245
"44567";PROFESSORA DAMARIS;PRP;SUPLENTE;5;Centro Direita;245
"44899";CARLOS CEREZZO SOARES;PRP;SUPLENTE;5;Centro Direita;241
"15553";ROSA MACEDO;MDB;SUPLENTE;5;Centro Direita;237
"15333";REGIANE FREIRE;MDB;SUPLENTE;5;Centro Direita;231
"12200";LUIS FERNANDO;PDT;SUPLENTE;5;Centro Esquerda;224
"55555";DOUGLAS CARRARA;PSD;NÃO ELEITO;4;Centro Direita;224
"12999";ADRIANO DA AUTO ESCOLA;PDT;SUPLENTE;5;Centro Esquerda;221
"17777";JOSÉ LUIZ BOLA;PSL;SUPLENTE;5;Extrema Direita;220
"44153";PEZÃO;PRP;SUPLENTE;5;Centro Direita;220
"65019";GILBERTO GIL;PCdoB;SUPLENTE;5;Esquerda;216
"65165";ODAIR LOBO;PCdoB;SUPLENTE;5;Esquerda;212
"44555";LEONILDO DO LEMA LOCAÇÕES;PRP;SUPLENTE;5;Centro Direita;210
"55028";THIAGO SANTON;PSD;NÃO ELEITO;4;Centro Direita;209
"51000";STOQUE;PATRIOTA;SUPLENTE;5;Direita;209
"12122";OLAVO FERREIRA;PDT;SUPLENTE;5;Centro Esquerda;208
"55569";FERNANDO CARDOSO;PSD;NÃO ELEITO;4;Centro Direita;205
"23123";JOSÉ CARLOS LEITE;PPS;NÃO ELEITO;4;Centro;200
"43100";ZARA;PV;SUPLENTE;5;Centro;199
"43999";PROFESSORA ANGELA;PV;SUPLENTE;5;Centro;197
"19777";AGNALDO LEVI;PODE;NÃO ELEITO;4;Direita;196
"65432";EUNICE LUCENA;PCdoB;SUPLENTE;5;Esquerda;196
"13199";EDUARDO COIENCA;PT;SUPLENTE;5;Esquerda;192
"45699";ALLAN DE CAMPOS;PSDB;SUPLENTE;5;Centro Direita;191
"55122";NILSON PARÁ;PSD;NÃO ELEITO;4;Centro Direita;190
"18007";FABINHO PIGATTO;REDE;NÃO ELEITO;4;Centro Esquerda;187
"10510";ADAIR AZEVEDO;PRB;SUPLENTE;5;Direita;182
"14007";JUNINHO SEGURANÇA;PTB;NÃO ELEITO;4;Direita;180
"31032";ALEX DO BEIRUTÃO;PHS;NÃO ELEITO;4;Centro;178
"45145";DANIEL DONEGA;PSDB;SUPLENTE;5;Centro Direita;176
"44212";EDILSON FORNACIARI;PRP;SUPLENTE;5;Centro Direita;176
"22111";VANDERLEI CIGANO;PL;SUPLENTE;5;Centro Direita;175
"44013";LIDIANE PODÓLOGA;PRP;SUPLENTE;5;Centro Direita;175
"13014";ROSANGELA SIMÃO;PT;SUPLENTE;5;Esquerda;173
"10002";PAULO NOVELLI;PRB;SUPLENTE;5;Direita;172
"15036";TERESA SAMPAIO;MDB;SUPLENTE;5;Centro Direita;171
"13610";BUCK;PT;SUPLENTE;5;Esquerda;171
"13255";SANDRA SCARAMAL;PT;SUPLENTE;5;Esquerda;170
"10111";JORGE CANDIDO;PRB;SUPLENTE;5;Direita;169
"20200";TONHÃO STENDER;PSC;NÃO ELEITO;4;Extrema Direita;166
"18018";BINOTTO;REDE;NÃO ELEITO;4;Centro Esquerda;166
"13000";ROLIM;PT;SUPLENTE;5;Esquerda;165
"43900";EUNICE GOMES;PV;SUPLENTE;5;Centro;159
"55700";EVA CABELEREIRA;PSD;NÃO ELEITO;4;Centro Direita;158
"10011";MARY GONÇALVES;PRB;SUPLENTE;5;Direita;157
"22666";CELSO DA IMPERATRIZ;PL;SUPLENTE;5;Centro Direita;156
"40400";DR. VINICIUS FISIOTERAPEUTA;PSB;NÃO ELEITO;4;Centro Esquerda;155
"55153";ALEXANDRE ARCHIOLI;PSD;NÃO ELEITO;4;Centro Direita;155
"22500";TÁBATA GONÇALVES;PL;SUPLENTE;5;Centro Direita;155
"55655";GLEBÃO;PSD;NÃO ELEITO;4;Centro Direita;152
"43800";CIDA LUIZA ENFERMEIRA;PV;SUPLENTE;5;Centro;151
"20304";CAETANO DO SEGURO;PSC;NÃO ELEITO;4;Extrema Direita;149
"45777";ANA FREITAS;PSDB;SUPLENTE;5;Centro Direita;146
"43600";DJALMA SEVERINO;PV;SUPLENTE;5;Centro;145
"31010";THIAGO ARGENTIN;PHS;NÃO ELEITO;4;Centro;141
"45999";SARDINHA;PSDB;SUPLENTE;5;Centro Direita;141
"15015";CARLÃO CAMARGO;MDB;SUPLENTE;5;Centro Direita;139
"17700";VAL DA MORADA;PSL;SUPLENTE;5;Extrema Direita;137
"19333";MACARRÃO;PODE;NÃO ELEITO;4;Direita;136
"43650";PROF. JOÃO CARVALHO;PV;SUPLENTE;5;Centro;136
"55254";TREINADOR MARANGONI;PSD;NÃO ELEITO;4;Centro Direita;135
"19123";JUNIOR MONTRAZIO;PODE;NÃO ELEITO;4;Direita;135
"20000";PAIAKAN PROPAGANDAS;PSC;NÃO ELEITO;4;Extrema Direita;134
"31015";DURÃES;PHS;NÃO ELEITO;4;Centro;134
"15147";MESSIAS DE BARROS;MDB;SUPLENTE;5;Centro Direita;133
"45654";CLAUDIÃO GARAPEIRO;PSDB;SUPLENTE;5;Centro Direita;133
"54123";BIJU;PPL;SUPLENTE;5;Extrema Esquerda;132
"65777";CICERO JOHNES;PCdoB;SUPLENTE;5;Esquerda;132
"45024";JANE SILVA;PSDB;SUPLENTE;5;Centro Direita;132
"13300";LURDINHA GINETTI;PT;SUPLENTE;5;Esquerda;131
"40040";JOÃO PEREIRA;PSB;NÃO ELEITO;4;Centro Esquerda;131
"15999";RUBÃO MARCOLIN ÁRBITRO;MDB;SUPLENTE;5;Centro Direita;130
"25777";ELSON MOTORISTA;DEM;NÃO ELEITO;4;Direita;128
"19999";ADEMAR DE BARROS;PODE;NÃO ELEITO;4;Direita;127
"45444";ANDRÉ ZANINI;PSDB;SUPLENTE;5;Centro Direita;126
"23456";CELSO MIRANDA;PPS;NÃO ELEITO;4;Centro;126
"77251";TONINHO DO BAR;SOLIDARIEDADE;SUPLENTE;5;Centro;123
"55222";REGINALDO FRANCO;PSD;NÃO ELEITO;4;Centro Direita;123
"65225";NADIA CRUZ;PCdoB;SUPLENTE;5;Esquerda;123
"17111";REINALDO MOTORISTA;PSL;SUPLENTE;5;Extrema Direita;122
"44407";VICTOR MOIANO;PRP;SUPLENTE;5;Centro Direita;121
"43555";KOKOL;PV;SUPLENTE;5;Centro;121
"77777";AROLDO CORRETOR;SOLIDARIEDADE;SUPLENTE;5;Centro;120
"45451";PROFESSORA VAL;PSDB;SUPLENTE;5;Centro Direita;119
"12111";DIRETORA ANGELA M. TAVARES;PDT;SUPLENTE;5;Centro Esquerda;118
"31222";LEANDRO R. MENEGHEL (XUXA);PHS;NÃO ELEITO;4;Centro;118
"17007";MARCELO CAMARGO;PSL;SUPLENTE;5;Extrema Direita;118
"10153";NELSON PASSARINHEIRO;PRB;SUPLENTE;5;Direita;118
"65000";THABATA FARIA;PCdoB;SUPLENTE;5;Esquerda;114
"25123";GIMENA STOCCO;DEM;NÃO ELEITO;4;Direita;113
"15222";MARCELO BIANCALANA;MDB;SUPLENTE;5;Centro Direita;112
"22153";EDMAR GOMES;PL;SUPLENTE;5;Centro Direita;112
"40123";ANA MARIA;PSB;NÃO ELEITO;4;Centro Esquerda;108
"40111";JOÃOZINHO DO ZANAGA;PSB;NÃO ELEITO;4;Centro Esquerda;106
"22040";DORA DA RIPASA;PL;SUPLENTE;5;Centro Direita;105
"44111";JUNIOR ALVES;PRP;SUPLENTE;5;Centro Direita;104
"43200";LUCIANA LUA MAZZARO;PV;SUPLENTE;5;Centro;103
"18888";WILLIAN RIBEIRO;REDE;NÃO ELEITO;4;Centro Esquerda;101
"19444";SIMONE DA IMOBILIÁRIA;PODE;NÃO ELEITO;4;Direita;101
"15133";NILTON BOIADEIRO;MDB;SUPLENTE;5;Centro Direita;100
"55123";DODÔ DA TERCEIRA IDADE;PSD;NÃO ELEITO;4;Centro Direita;100
"31555";ITAMAR MOREIRA;PHS;NÃO ELEITO;4;Centro;100
"55113";CLOVIS GRABOVEI;PSD;NÃO ELEITO;4;Centro Direita;99
"13200";OSVANI MOTORISTA;PT;SUPLENTE;5;Esquerda;98
"65369";PASTORA SILVINIA;PCdoB;SUPLENTE;5;Esquerda;98
"77077";RAY GARRIDO;SOLIDARIEDADE;SUPLENTE;5;Centro;97
"77000";THIAGO BERINGUEL;SOLIDARIEDADE;SUPLENTE;5;Centro;96
"45888";SANDRA ALMEIDA;PSDB;SUPLENTE;5;Centro Direita;96
